Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Dirk Nowitzki,14.6,2000-01,22,DAL,82,82,0,3125,591,1247,440,857,151,390,451,538,119,635,754,173,79,101,156,245,1784,.474,.513,.387,.838,.601,.534,F-C,nowitdi01
2,Arvydas Sabonis,3.7,2000-01,36,POR,61,42,0,1299,247,516,246,501,1,15,121,156,51,280,331,91,40,62,85,137,616,.479,.491,.067,.776,.527,.480,C,sabonar01
3,Vlade Divac,7.4,2000-01,32,SAC,81,81,1,2420,364,755,360,741,4,14,242,350,207,466,673,231,87,93,192,242,974,.482,.486,.286,.691,.536,.485,C,divacvl01
4,Shawn Bradley,6.3,2000-01,28,DAL,82,35,0,2001,219,447,218,441,1,6,140,178,160,448,608,38,36,228,88,256,579,.490,.494,.167,.787,.551,.491,C,bradlsh01
5,Kevin Willis,3.1,2000-01,38,DENTOR,78,22,0,1830,304,690,303,684,1,6,113,147,177,355,532,50,57,52,87,216,722,.441,.443,.167,.769,.478,.441,F-C,willike02
6,Bryant Reeves,2.9,2000-01,27,VAN,75,48,0,1832,254,552,253,548,1,4,113,142,132,320,452,80,43,54,90,243,622,.460,.462,.250,.796,.506,.461,C,reevebr01
7,Vladimir Stepania,0.2,2000-01,24,NJN,29,0,0,280,28,88,27,84,1,4,25,34,35,74,109,16,10,11,19,47,82,.318,.321,.250,.735,.398,.324,C,stepavl01
8,Bruno Sundov,0.2,2000-01,20,IND,11,4,0,120,20,41,20,37,0,4,3,5,4,19,23,2,2,4,3,21,43,.488,.541,.000,.600,.498,.488,C,sundobr01
9,Shaquille O'Neal,14.9,2000-01,28,LAL,74,74,1,2924,813,1422,813,1420,0,2,499,972,291,649,940,277,47,204,218,256,2125,.572,.573,.000,.513,.574,.572,C,onealsh01
10,Patrick Ewing,2.0,2000-01,38,SEA,79,79,0,2107,294,684,294,682,0,2,172,251,124,461,585,92,53,91,151,229,760,.430,.431,.000,.685,.478,.430,C-F,ewingpa01
11,Greg Ostertag,3.8,2000-01,27,UTA,81,3,0,1491,139,281,138,279,1,2,84,151,164,251,415,22,22,142,63,215,363,.495,.495,.500,.556,.522,.496,C,ostergr01
12,Zydrunas Ilgauskas,0.7,2000-01,25,CLE,24,24,0,616,114,234,114,232,0,2,53,78,65,95,160,18,15,37,60,78,281,.487,.491,.000,.679,.524,.487,C,ilgauzy01
13,Matt Geiger,0.7,2000-01,31,PHI,35,4,0,542,88,224,88,222,0,2,37,54,50,89,139,14,12,8,25,73,213,.393,.396,.000,.685,.430,.393,C,geigema01
14,Wang Zhizhi,0.1,2000-01,23,DAL,5,0,0,38,8,19,8,17,0,2,8,10,1,6,7,0,0,0,1,8,24,.421,.471,.000,.800,.513,.421,C,zhizhwa01
15,David Robinson,12.1,2000-01,35,SAS,80,80,1,2371,400,823,400,822,0,1,351,470,208,483,691,116,80,197,122,212,1151,.486,.487,.000,.747,.559,.486,C,robinda01
16,Hakeem Olajuwon,5.0,2000-01,38,HOU,58,55,0,1545,283,568,283,567,0,1,123,198,124,307,431,72,70,88,81,141,689,.498,.499,.000,.621,.526,.498,C,olajuha01
17,Mikki Moore,2.8,2000-01,25,DET,81,2,0,1154,132,268,132,267,0,1,95,130,121,195,316,33,24,61,74,202,359,.493,.494,.000,.731,.552,.493,C-F,mooremi01
18,Chris Mihm,1.3,2000-01,21,CLE,59,43,0,1166,173,391,173,390,0,1,100,126,106,174,280,16,20,53,80,156,446,.442,.444,.000,.794,.500,.442,C-F,mihmch01
19,Olden Polynice,2.0,2000-01,36,UTA,81,79,0,1619,206,415,206,414,0,1,17,65,157,221,378,31,27,77,78,241,429,.496,.498,.000,.262,.484,.496,C-F,polynol01
