Rk,Player,WS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
1,Isaiah Hartenstein,1.6,2025-26,27,OKC,10,10,0,300,55,81,55,78,0,3,19,27,33,84,117,34,16,6,20,30,129,.679,.705,.000,.704,.694,.679,F,harteis01
2,Victor Wembanyama,1.2,2025-26,22,SAS,9,9,0,306,79,159,71,125,8,34,53,65,14,102,116,29,11,34,29,34,219,.497,.568,.235,.815,.584,.522,C-F,wembavi01
3,Mark Williams,1.0,2025-26,24,PHO,9,6,0,230,45,76,45,76,0,0,27,35,29,57,86,7,12,7,7,26,117,.592,.592,,.771,.640,.592,C,willima07
4,Lauri Markkanen,1.0,2025-26,28,UTA,9,9,0,318,85,188,57,105,28,83,57,64,17,38,55,18,8,4,12,11,255,.452,.543,.337,.891,.590,.527,F-C,markkla01
5,Neemias Queta,1.0,2025-26,26,BOS,10,10,0,236,37,57,37,55,0,2,13,21,28,53,81,17,9,14,10,32,87,.649,.673,.000,.619,.657,.649,C,quetane01
6,Donovan Clingan,0.9,2025-26,21,POR,9,9,0,217,31,62,25,37,6,25,11,12,40,39,79,13,9,13,5,25,79,.500,.676,.240,.917,.587,.548,C,clingdo01
7,Rudy Gobert,0.8,2025-26,33,MIN,9,9,0,285,36,49,36,49,0,0,15,28,29,58,87,14,4,13,14,27,87,.735,.735,,.536,.709,.735,C,goberru01
8,Chet Holmgren,0.8,2025-26,23,OKC,6,6,0,188,37,68,27,39,10,29,29,34,11,42,53,11,6,9,17,25,113,.544,.692,.345,.853,.681,.618,F-C,holmgch01
9,Karl-Anthony Towns,0.8,2025-26,30,NYK,8,8,0,265,47,114,33,73,14,41,50,55,26,76,102,26,5,9,24,28,158,.412,.452,.341,.909,.572,.474,C-F,townska01
10,Ivica Zubac,0.8,2025-26,28,LAC,9,9,0,266,58,94,58,94,0,0,20,25,27,67,94,23,5,8,19,22,136,.617,.617,,.800,.648,.617,C,zubaciv01
11,Ryan Kalkbrenner,0.7,2025-26,24,CHO,9,9,0,246,39,48,39,47,0,1,5,7,30,32,62,5,10,23,16,20,83,.813,.830,.000,.714,.812,.813,C,kalkbry01
12,Kristaps Porziņģis,0.7,2025-26,30,ATL,7,7,0,183,39,90,28,55,11,35,34,40,15,29,44,23,5,9,9,20,123,.433,.509,.314,.850,.572,.494,F-C,porzikr01
13,Deandre Ayton,0.6,2025-26,27,LAL,9,9,0,272,70,104,70,104,0,0,11,18,26,46,72,9,4,10,21,25,151,.673,.673,,.611,.675,.673,C,aytonde01
14,Kel'el Ware,0.6,2025-26,21,MIA,10,7,0,215,37,76,26,45,11,31,12,17,21,56,77,6,10,13,12,17,97,.487,.578,.355,.706,.581,.559,C,wareke01
15,Alex Sarr,0.5,2025-26,20,WAS,10,10,0,284,77,146,67,117,10,29,25,33,24,53,77,40,8,25,26,14,189,.527,.573,.345,.758,.589,.562,F,sarral01
16,Walker Kessler,0.5,2025-26,24,UTA,5,5,0,154,26,37,20,29,6,8,14,20,23,31,54,15,7,9,16,22,72,.703,.690,.750,.700,.786,.784,C,kesslwa01
17,Jaxson Hayes,0.4,2025-26,25,LAL,7,1,0,127,18,25,17,24,1,1,3,7,8,22,30,11,2,4,3,13,40,.720,.708,1.000,.429,.712,.740,F,hayesja02
18,Joel Embiid,0.4,2025-26,31,PHI,6,6,0,140,40,87,31,59,9,28,29,35,9,24,33,20,5,9,16,13,118,.460,.525,.321,.829,.576,.511,C,embiijo01
19,Quinten Post,0.3,2025-26,25,GSW,10,5,0,152,22,45,10,15,12,30,0,0,9,29,38,9,4,7,7,15,56,.489,.667,.400,,.622,.622,F,postqu01
20,Luke Kornet,0.2,2025-26,30,SAS,2,0,0,50,7,12,7,12,0,0,2,4,10,6,16,7,0,3,1,4,16,.583,.583,,.500,.581,.583,C-F,kornelu01
21,Mitchell Robinson,0.2,2025-26,27,NYK,3,3,0,49,6,11,6,11,0,0,0,1,19,7,26,4,1,5,2,5,12,.545,.545,,.000,.524,.545,C,robinmi01
22,Jakob Poeltl,0.2,2025-26,30,TOR,6,6,0,137,21,33,21,33,0,0,4,9,16,24,40,10,2,3,10,25,46,.636,.636,,.444,.622,.636,C,poeltja01
23,Jay Huff,0.2,2025-26,27,IND,9,1,0,131,15,41,8,12,7,29,8,8,9,14,23,7,1,16,5,16,45,.366,.667,.241,1.000,.505,.451,F-C,huffja01
24,Dereck Lively II,0.2,2025-26,21,DAL,3,3,0,51,7,9,7,9,0,0,2,4,4,11,15,9,2,4,5,9,16,.778,.778,,.500,.743,.778,C,livelde01
25,Nick Richards,0.1,2025-26,28,PHO,10,0,0,98,16,29,16,29,0,0,11,12,12,19,31,3,2,5,10,14,43,.552,.552,,.917,.627,.552,F-C,richani01
26,Ariel Hukporti,0.1,2025-26,23,NYK,5,2,0,46,3,7,3,7,0,0,0,0,7,8,15,5,1,1,2,6,6,.429,.429,,,.429,.429,C,hukpoar01
27,Branden Carlson,0.1,2025-26,26,OKC,7,0,0,42,8,16,6,9,2,7,0,0,1,9,10,2,0,1,2,6,18,.500,.667,.286,,.563,.563,C,carlsbr01
28,Khaman Maluach,0.1,2025-26,19,PHO,5,0,0,24,2,4,2,3,0,1,7,8,1,1,2,1,0,2,2,5,11,.500,.667,.000,.875,.731,.500,C,maluakh01
29,Christian Koloko,0.0,2025-26,25,LAL,2,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,,,,,,C,kolokch01
30,Orlando Robinson,0.0,2025-26,25,ORL,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,F,robinor01
31,Danny Wolf,0.0,2025-26,21,BRK,1,0,0,4,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,.000,.000,,,.000,.000,F-C,wolfda01
32,Maxime Raynaud,0.0,2025-26,22,SAC,4,0,0,54,4,15,4,13,0,2,6,6,6,12,18,3,2,1,3,4,14,.267,.308,.000,1.000,.397,.267,F,raynama01
33,James Wiseman,0.0,2025-26,24,IND,1,1,0,20,2,3,2,3,0,0,0,0,4,0,4,0,0,1,3,2,4,.667,.667,,,.667,.667,C,wisemja01
