name,year,adp,adpr,pos_rank,ppg,games,position
Christian McCaffrey,2020,1.01,1,51,30.1,3,RB
Derrick Henry,2021,1.04,4,14,24.2,8,RB
Cooper Kupp,2022,1.04,1,22,22.4,9,WR
Jamaal Charles,2015,1.04,3,51,20.2,5,RB
Justin Jefferson,2023,1.01,1,26,20.2,10,WR
A.J. Green,2016,1.06,5,34,18.6,10,WR
Le'Veon Bell,2015,1.01,1,46,18.5,6,RB
Odell Beckham Jr.,2017,1.05,3,82,18.5,4,WR
Christian McCaffrey,2021,1.01,1,44,18.2,7,RB
Joe Mixon,2020,1.10,8,49,16.6,6,RB
Leonard Fournette,2018,1.09,7,36,15.1,8,RB
James Conner,2019,1.09,7,33,14.6,10,RB
David Johnson,2017,1.01,1,123,13.0,1,RB
Rob Gronkowski,2016,1.11,1,22,12.1,8,TE
Michael Thomas,2020,1.05,1,103,12.0,7,WR
Christian McCaffrey,2024,1.01,1,73,11.9,4,RB
Marshawn Lynch,2015,1.06,5,56,11.8,7,RB
Nick Chubb,2023,1.10,5,87,11.6,2,RB
Dez Bryant,2015,1.08,3,79,9.9,9,WR
Saquon Barkley,2020,1.02,2,119,7.7,2,RB
Adrian Peterson,2016,1.10,4,125,3.0,3,RB
