name,year,adp,adpr,pos_rank,ppg,games,position
David Johnson,2016,1.07,2,71,1.1,16,RB
Jordy Nelson,2017,1.11,6,50,9.1,15,WR
Jonathan Taylor,2022,1.01,1,36,13.3,11,RB
DeAndre Hopkins,2016,1.05,4,36,12.3,16,WR
David Johnson,2019,1.06,5,37,10.9,13,RB
Austin Ekeler,2023,1.04,2,31,13.2,14,RB
Davante Adams,2019,1.08,2,29,17.7,12,WR
Saquon Barkley,2021,1.09,7,34,11.4,13,RB
Odell Beckham Jr.,2019,1.12,5,31,12.6,16,WR
C.J. Anderson,2015,1.11,6,30,9.4,15,RB
Eddie Lacy,2015,1.05,4,25,9.4,15,RB
Tyreek Hill,2024,1.03,2,23,12.8,17,WR
Mike Evans,2017,1.07,4,20,13.5,15,WR
Le'Veon Bell,2019,1.07,6,21,14.3,15,RB
Breece Hall,2024,1.05,3,18,15.1,16,RB
