Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
1,2025-26,OKC,12,13,12,1,.923,3220,566,1190,389,666,177,524,284,329,130,481,611,331,141,67,160,281,1593,.476,.584,.338,.863,.597,.550
2,2025-26,DET,11,13,11,2,.846,3145,561,1188,413,772,148,416,266,361,186,435,621,346,134,80,197,307,1536,.472,.535,.356,.737,.570,.535
3,2025-26,DEN,9,11,9,2,.818,2665,498,979,367,610,131,369,243,288,128,393,521,324,89,40,153,220,1370,.509,.602,.355,.844,.620,.576
4,2025-26,LAL,9,13,9,4,.692,3120,542,1073,402,653,140,420,285,364,124,405,529,336,122,45,220,262,1509,.505,.616,.333,.783,.612,.570
5,2025-26,ATL,8,13,8,5,.615,3120,551,1142,385,693,166,449,254,323,128,427,555,391,132,72,197,272,1522,.482,.556,.370,.786,.593,.555
6,2025-26,CLE,8,13,8,5,.615,3145,555,1225,344,619,211,606,267,346,174,390,564,363,129,73,184,290,1588,.453,.556,.348,.772,.577,.539
7,2025-26,GSW,8,14,8,6,.571,3385,547,1205,324,603,223,602,294,353,142,441,583,376,136,64,229,292,1611,.454,.537,.370,.833,.592,.546
8,2025-26,HOU,8,11,8,3,.727,2690,496,996,349,652,147,344,241,307,178,365,543,291,108,59,176,223,1380,.498,.535,.427,.785,.610,.572
9,2025-26,MIL,8,13,8,5,.615,3145,582,1144,383,662,199,482,200,285,111,413,524,355,105,65,186,304,1563,.509,.579,.413,.702,.616,.596
10,2025-26,MIN,8,12,8,4,.667,2880,520,1033,350,607,170,426,247,318,123,388,511,320,98,66,183,274,1457,.503,.577,.399,.777,.621,.586
11,2025-26,NYK,8,12,8,4,.667,2880,516,1123,314,593,202,530,231,277,177,384,561,332,102,45,163,253,1465,.459,.530,.381,.834,.588,.549
12,2025-26,PHO,8,13,8,5,.615,3145,548,1159,340,619,208,540,237,293,161,400,561,357,131,62,209,300,1541,.473,.549,.385,.809,.598,.563
13,2025-26,SAS,8,12,8,4,.667,2905,509,1031,356,604,153,427,250,317,140,410,550,316,106,67,203,264,1421,.494,.589,.358,.789,.607,.568
14,2025-26,MIA,7,13,7,6,.538,3145,589,1197,407,723,182,474,269,336,123,456,579,395,119,52,195,283,1629,.492,.563,.384,.801,.606,.568
15,2025-26,ORL,7,13,7,6,.538,3120,517,1094,375,677,142,417,328,412,153,440,593,317,99,72,215,289,1504,.473,.554,.341,.796,.590,.537
16,2025-26,PHI,7,12,7,5,.583,2905,504,1081,338,648,166,433,257,321,149,380,529,308,85,80,176,264,1431,.466,.522,.383,.801,.585,.543
17,2025-26,TOR,7,12,7,5,.583,2880,526,1066,373,662,153,404,233,295,123,383,506,364,96,54,167,282,1438,.493,.563,.379,.790,.601,.565
18,2025-26,BOS,6,13,6,7,.462,3120,546,1216,351,634,195,582,185,238,172,405,577,313,112,69,148,308,1472,.449,.554,.335,.777,.557,.529
19,2025-26,CHI,6,11,6,5,.545,2640,471,972,322,596,149,376,214,269,116,395,511,318,94,51,175,232,1305,.485,.540,.396,.796,.598,.561
20,2025-26,POR,6,12,6,6,.500,2880,508,1109,341,612,167,497,264,322,168,347,515,305,115,52,200,278,1447,.458,.557,.336,.820,.578,.533
21,2025-26,CHO,4,12,4,8,.333,2905,495,1052,318,575,177,477,260,317,146,406,552,325,81,58,204,250,1427,.471,.553,.371,.820,.599,.555
22,2025-26,LAC,4,12,4,8,.333,2930,479,1000,320,558,159,442,221,273,121,369,490,294,112,64,202,245,1338,.479,.573,.360,.810,.597,.559
23,2025-26,MEM,4,13,4,9,.308,3120,506,1164,334,646,172,518,282,339,137,428,565,363,98,54,193,274,1466,.435,.517,.332,.832,.558,.509
24,2025-26,UTA,4,12,4,8,.333,2905,477,1076,316,591,161,485,281,342,175,400,575,352,85,44,212,264,1396,.443,.535,.332,.822,.569,.518
25,2025-26,DAL,3,13,3,10,.231,3170,507,1133,374,691,133,442,273,364,129,457,586,313,115,79,222,278,1420,.447,.541,.301,.750,.549,.506
26,2025-26,SAC,3,13,3,10,.231,3120,540,1157,388,749,152,408,239,315,119,395,514,344,111,44,190,270,1471,.467,.518,.373,.759,.568,.532
27,2025-26,NOP,2,12,2,10,.167,2905,465,1065,318,647,147,418,224,295,161,335,496,274,105,33,181,248,1301,.437,.491,.352,.759,.544,.506
28,2025-26,IND,1,12,1,11,.083,2930,456,1142,322,688,134,454,256,333,176,393,569,280,76,57,165,292,1302,.399,.468,.295,.769,.505,.458
29,2025-26,BRK,1,12,1,11,.083,2880,451,1042,288,541,163,501,242,307,141,320,461,288,87,38,183,271,1307,.433,.532,.325,.788,.555,.511
30,2025-26,WAS,1,12,1,11,.083,2930,503,1096,340,660,163,436,193,263,135,403,538,307,78,71,210,283,1362,.459,.515,.374,.734,.562,.533
